Molecule,State,is_primary,conformer,energy,opt_success,no_imaginary,homo,lumo,homo_lumo_gap,dipole,max_positive_charge,max_negative_charge,charge_spread,avg_charge,crest_num_conformers,crest_energy_range,crest_energy,crest_population,excited_energy,excited_opt_success,excited_homo,excited_lumo,excited_homo_lumo_gap,excitation_energy_ev,gap_ev,energy_diff_from_neutral,homo_num,lumo_num,gap_calculated,conformational_flexibility,energy_diversity,charge_polarity,charge_intensity,has_nh2,has_oh,has_cn,has_me,has_f,is_ring,is_neutral,is_cation,is_triplet,is_primary_num,molecular_complexity,ring_count,has_5ring,has_3ring,has_7ring,has_in_group,has_out_group,has_both_groups,has_cn_alt,cn_count,has_nh2_alt,nh2_count,has_oh_alt,oh_count,has_me_alt,me_count,has_f_alt,f_count,has_sh,sh_count,has_bh2,bh2_count,has_cf3,cf3_count,has_no2,no2_count,has_ome,ome_count,has_nme2,nme2_count,has_nph3,nph3_count,has_nn+,nn+_count,total_substituents,structural_complexity,estimated_size,estimated_polarity,estimated_hydrophobicity,electron_donating_effect,electron_withdrawing_effect,net_electronic_effect,estimated_conjugation,planarity_index,homo_polarity,lumo_electronic_effect,gap_conjugation,energy_per_size,dipole_planarity,s1_t1_gap_ev,is_negative_gap
5ring_nph3_3ring_CN,cation,True,conf_4,-1286.6435404,True,False,-4.807165924,-3.124412948,1.6827529760000002,,,,,,7.0,2998.87,899.22,0.0,,,,,,,,0.20491590000006,-4.807165924,-3.124412948,1.6827529760000006,2.079441541679836,8.006324233377997,,,0,0,0,0,0,1,0,1,0,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,17.0,4.5,2.0,1.5,3.0,-1.5,10.0,1.0,-21.632246658000003,4.686619422,0.1529774042023599,-75.68491414117646,0.0,0.3048258928,0
5ring_nph3_3ring_CN,triplet,True,conf_1,-1286.7917917,True,True,-4.03272948,-1.406013038,2.626716442,,,,,,2.0,2370.73,0.0,100.0,,,,,,,1.5419230964393584,0.0566645999999764,-4.03272948,-1.406013038,2.626716442,1.0986122886681098,7.771374925645464,,,0,0,0,0,0,1,0,0,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,17.0,4.5,2.0,1.5,3.0,-1.5,10.0,1.0,-18.14728266,2.109019557,0.2387921867343757,-75.69363480588235,0.0,0.5880149325999999,0
sesqui_5ring_oh,neutral,True,conf_1,-613.2700224,True,False,-4.615325554000001,-1.957043888,2.6582816660000006,,0.216362,-0.246137,0.462499,1.666666666656769e-07,3.0,4601.52,0.0,100.0,-613.25008888,False,-4.524439478000001,-1.957043888,2.5673955900000003,0.5424189861278651,,0.0,-4.615325554000001,-1.957043888,2.6582816660000006,1.3862943611198906,8.434359258562212,0.462499,0.462499,0,1,0,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-13.845976662000002,-1.7613394992,0.3797539812085984,-102.2116704,0.0,0.5974844998000002,0
sesqui_5ring_oh,cation,True,conf_1,-613.1243876,True,False,-5.6109906800000005,-2.7592359600000003,2.85175472,,,,,,2.0,2932.98,0.0,100.0,,,,,,,,0.1456348000000389,-5.6109906800000005,-2.7592359600000003,2.85175472,1.0986122886681098,7.98411514204711,,,0,1,0,0,0,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-16.83297204,-2.483312364,0.4073929494386437,-102.18739793333332,0.0,0.6555264160000001,0
sesqui_5ring_oh,triplet,True,conf_1,-613.2459044,True,True,-3.997082546,-1.910784508,2.086298038,,,,,,4.0,2877.13,0.0,100.0,,,,,,,0.6562845452011986,0.024118000000044,-3.997082546,-1.910784508,2.086298038,1.6094379124341005,7.964896056684291,,,0,1,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-11.991247638,-1.7197060572,0.2980421510826413,-102.20765073333332,0.0,0.42588941139999986,0
5ring_oh_3ring_bh2_in,neutral,True,conf_2,-509.3377397,True,True,-5.095062536,-2.677873874,2.417188662,,0.282417,-0.24839,0.530807,0.0,6.0,4252.0,169.43,0.0,-509.289911831,False,-5.06948382,-2.677873874,2.391609946,1.3014632745066672,,0.0,-5.095062536,-2.677873874,2.4171886620000005,1.9459101490553128,8.355379895253634,0.530807,0.530807,0,1,0,0,0,1,1,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10.0,4.0,-1.5,1.0,1.0,0.0,9.0,4.0,-20.380250144,-0.0,0.2417186244813755,-50.93377397,0.0,0.5251565986,0
5ring_oh_3ring_bh2_in,cation,True,conf_1,-509.1820673,True,True,-5.690447968,-2.323581446,3.3668665220000005,,,,,,5.0,4585.84,0.0,100.0,,,,,,,,0.1556723999999576,-5.690447968,-2.323581446,3.366866522,1.791759469228055,8.430946612802849,,,0,1,0,0,0,1,0,1,0,1,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10.0,4.0,-1.5,1.0,1.0,0.0,9.0,4.0,-22.761791872,-0.0,0.3366863155136845,-50.91820673,0.0,0.8100599566000002,0
5ring_oh_3ring_bh2_in,triplet,True,conf_1,-509.3296676,True,True,-5.139145004,-2.455012508,2.684132496,,,,,,,,,,,,,,,,0.2196531419397983,0.0080720999999925,-5.139145004,-2.455012508,2.6841324960000006,,,,,0,1,0,0,0,1,0,0,1,1,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10.0,4.0,-1.5,1.0,1.0,0.0,9.0,4.0,-20.556580016,-0.0,0.2684129811870189,-50.93296676,0.0,0.6052397488000001,0
sesqui_5ring_oh_7ring_2f_in,neutral,True,conf_3,-811.5769571,True,True,-5.082817406,-2.4639922700000003,2.6188251360000003,,0.205771,-0.247746,0.453517,-4.166666666439537e-08,3.0,1728.79,1728.79,0.0,-811.54855054,False,-4.049328434,-2.4639922700000003,1.585336164,0.7729822667842077,,0.0,-5.082817406,-2.4639922700000003,2.618825136,1.3862943611198906,7.455755292840555,0.453517,0.453517,0,1,0,0,0,1,1,0,0,1,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13.5,7.0,-2.5,1.0,1.0,0.0,13.0,4.0,-35.579721842,-0.0,0.1870588046722823,-60.11681163703703,0.0,0.5856475408000001,0
sesqui_5ring_oh_7ring_2f_in,cation,True,conf_2,-811.4314009,True,True,-5.488811494,-3.25040173,2.238409764,,,,,,3.0,2493.72,1634.03,0.0,,,,,,,,0.1455561999999872,-5.488811494,-3.25040173,2.238409764,1.3862943611198906,7.821931777439087,,,0,1,0,0,0,1,0,1,0,1,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13.5,7.0,-2.5,1.0,1.0,0.0,13.0,4.0,-38.421680458,-0.0,0.1598862975097875,-60.1060296962963,0.0,0.4715229292,0
sesqui_5ring_oh_7ring_2f_in,triplet,True,conf_1,-811.5671403,True,True,-4.1483779300000005,-1.839218526,2.3091594040000003,,,,,,3.0,4250.75,0.0,100.0,,,,,,,0.267128871518727,0.0098167999999532,-4.1483779300000005,-1.839218526,2.3091594040000007,1.3862943611198906,8.355085941872522,,,0,1,0,0,0,1,0,0,1,1,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13.5,7.0,-2.5,1.0,1.0,0.0,13.0,4.0,-29.03864551,-0.0,0.1649398396144003,-60.11608446666667,0.0,0.4927478212000001,0
